bottle,cage_ID,dilution,FLU1,FLU2,FLU3,extras
D01,A1,,34.56,33.41,34.59,
D02,A2,,53.52,55,55,
D03,A3,,55.48,56.18,55.35,
D04,A4,,58.38,59.71,59.09,
D05,A5,,55.17,54.59,54.38,
D06,A6,,45.04,45.3,46.46,
D07,A7,,6.519,6.784,6.569,
D08,A8,,7.934,7.731,7.837,11.61
D09,A9,,-3.186,-3.327,-3.383,
D10,B1,,64.01,63.59,64.4,
D11,B2,,56.84,56.38,56.13,
D12,B3,,59.41,60.12,60.04,
D13,B4,,77.25,76.01,76.87,
D14,B5,,88.94,87.92,87.44,125.4
D15,B6,,86.61,87.67,88.09,"85.63, 89.62, 92.24"
D16,B7,,88.5,86.44,85.48,83.38
D17,B8,,79.95,80.58,81.02,
D18,B9,,85.11,82.9,84.16,
F01,AWP1,,21.11,21.79,22.18,
F02,AWP2,,88.12,90.23,91.02,
F03,BWP1,,75.64,75.03,75.79,
F04,BWP2,,138.3,136.8,138.3,