bottle,site_ID,dilution,FLU1,FLU2,FLU3,extras
F10,BMSC11,,158.2,161.5,161.3,157.4
F02,BMSC11,,161,160.2,163,
F16,BMSC11,,155.9,157.5,158.5,
D06,BMSC12,,194.6,196.9,195,
D22,BMSC12,,106.1,106,104,
F29,BMSC12,,139,140.3,141.4,
F07,BMSC13,,75.32,77.9,77.41,
F12,BMSC13,,103.6,103.4,105,"100.4, 101.5"
D27,BMSC13,,119.5,121.8,119.4,
F05,BMSC14,,80.59,80.1,79.71,
F26,BMSC14,,90.98,91.29,91.62,"95.54, 98.06"
F09,BMSC14,,126.8,125.4,126.3,
F19,BMSC15,,77.41,78.1,77.13,76.5
F15,BMSC15,,90.83,90.54,92.8,94.06
F01,BMSC15,,109.8,108.5,110.1,
F18,BMSC16,,105.4,107.3,106.5,
F13,BMSC16,,74.56,75.29,74.53,
F23,BMSC16,,97.89,97.98,97.64,
F25,BMSC17,,62.69,63.45,62.37,
F20,BMSC17,,79.45,78.87,79.16,
F17,BMSC17,,108.1,109.4,110.1,
F04,BMSC18,,93.52,94.37,95.69,
D13,BMSC18,,16.29,16.41,16.27,
C12,BMSC18,,13.28,13.62,13.95,
F03,BMSC19,,119.9,120.8,122,
F21,BMSC19,,121.5,121.2,119.6,
F22,BMSC19,,110.4,110.4,110.8,
F06,BMSC20,,123,124.8,125.2,
F24,BMSC20,,129.9,129.4,130.7,
F27,BMSC20,,120.4,121.2,121,
G06,BMSC21,,81.22,79.89,81.57,
G05,BMSC21,,61.86,61.97,60.65,68.79
G04,BMSC21,,93.91,93.45,94.2,
G03,BMSC21,,25.79,25.41,25.27,
G07,BMSC22,,16.87,16.51,17.2,
G02,BMSC22,,41,39.87,40.53,
G01,BMSC22,,50,51.77,50.58,
G09,BMSC22,,120,122.6,122.1,