bottle,sample_matrix,flu_1,flu_2,flu_3,extras
D1,sample,326,326.6,327.4,331.1
D2,sample,252.2,253,254,
D3,sample,294.8,294.1,293.3,297.5
D4,matrix,369.6,368.7,369.2,363.3
D9,sample,122.9,125.8,124.5,
D10,sample,181,179.5,180.2,
D11,sample,162.1,163.2,162.1,
D12,matrix,237.3,234.7,237.1,
D13,sample,79.74,78.95,78.26,
D14,sample,64.36,64.96,64.65,
D15,sample,30.18,30.57,30.5,
D16,matrix,117.3,117.2,117.8,
D5,sample,228.2,230.1,227.5,
D6,sample,200.4,200.6,203.3,"193.4, 204.4"
D7,sample,179.1,180.7,181.6,"183.3, 185.2"
D8,matrix,256.1,258.5,257.2,