experiment,tank,species,treatment,arm_length,start_weight,end_weight,change_weight,percent_change
one,one,Evasterias,4 Eva,39,9.231,10.281,1.05,11.37471563
one,one,Evasterias,4 Eva,41,8.1767,9.543,1.3663,16.70967505
one,one,Evasterias,4 Eva,49,6.662,7.102,0.44,6.604623236
one,one,Evasterias,4 Eva,56,21.316,24.584,3.268,15.33120661
one,two,Evasterias,4 Eva,33,4.553,3.977,-0.576,-12.65099934
one,two,Evasterias,4 Eva,39,9.232,9.86,0.628,6.802426343
one,two,Evasterias,4 Eva,48,10.547,12.183,1.636,15.51151986
one,two,Evasterias,4 Eva,57,22.733,27.368,4.635,20.38886201
one,six,Evasterias,2 Eva,40,6.312,12.624,6.312,100
one,six,Evasterias,2 Eva,45,9.403,14.048,4.645,49.39912794
one,eight,Evasterias,Eva (2 Eva + 2 Pi),49,12.504,16.321,3.817,30.52623161
one,eight,Evasterias,Eva (2 Eva + 2 Pi),52,19.725,17.322,-2.403,-12.18250951
one,nine,Evasterias,2 Eva,49,14.775,17.759,2.984,20.1962775
one,nine,Evasterias,2 Eva,52,12.567,16.571,4.004,31.86122384
one,ten,Evasterias,Eva (2 Eva + 2 Pi),40,5.904,10.891,4.987,84.46815718
one,ten,Evasterias,Eva (2 Eva + 2 Pi),44,7.84,11.263,3.423,43.66071429
one,eleven,Evasterias,Eva (2 Eva + 2 Pi),43,7.237,7.326,0.089,1.22979135
one,eleven,Evasterias,Eva (2 Eva + 2 Pi),64,24.426,30.013,5.587,22.87316794
one,twelve,Evasterias,4 Eva,35,4.957,5.271,0.314,6.334476498
one,twelve,Evasterias,4 Eva,40,9.659,10.295,0.636,6.58453256
one,twelve,Evasterias,4 Eva,42,10.088,11.815,1.727,17.11934972
one,twelve,Evasterias,4 Eva,63,22.3,22.229,-0.071,-0.31838565
one,fourteen,Evasterias,2 Eva,35,5.634,9.67,4.036,71.63649272
one,fourteen,Evasterias,2 Eva,49,14.114,18.731,4.617,32.71220065
one,three,Pisaster,4 Pi,39,16.183,13.77,-2.413,-14.91070877
one,three,Pisaster,4 Pi,39,13.196,14.32,1.124,8.517732646
one,three,Pisaster,4 Pi,41,18.786,17.849,-0.937,-4.98775684
one,three,Pisaster,4 Pi,73,99.326,102,2.674,2.692145058
one,four,Pisaster,4 Pi,36,13.981,14.942,0.961,6.873614191
one,four,Pisaster,4 Pi,40,12.824,14.692,1.868,14.56643793
one,four,Pisaster,4 Pi,43,17.987,17.878,-0.109,-0.605993217
one,four,Pisaster,4 Pi,69,77.736,85.833,8.097,10.41602346
one,five,Pisaster,2 Pi,34,14.053,16.516,2.463,17.5265068
one,five,Pisaster,2 Pi,61,67.485,74.547,7.062,10.46454768
one,seven,Pisaster,2 Pi,36,12.833,12.598,-0.235,-1.831216395
one,seven,Pisaster,2 Pi,62,60.457,72.257,11.8,19.51800453
one,eight,Pisaster,Pi (2 Eva + 2 Pi),36,8.186,9.964,1.778,21.72000977
one,eight,Pisaster,Pi (2 Eva + 2 Pi),59,67.382,69.121,1.739,2.580807931
one,ten,Pisaster,Pi (2 Eva + 2 Pi),30,5.112,6.376,1.264,24.72613459
one,ten,Pisaster,Pi (2 Eva + 2 Pi),48,19.171,20.629,1.458,7.605237077
one,eleven,Pisaster,Pi (2 Eva + 2 Pi),40,11.175,11.919,0.744,6.657718121
one,eleven,Pisaster,Pi (2 Eva + 2 Pi),66,80.427,78.182,-2.245,-2.791351163
one,thirteen,Pisaster,2 Pi,44,16.351,20.453,4.102,25.08715063
one,thirteen,Pisaster,2 Pi,51,18.463,21.245,2.782,15.06797379
one,fifteen,Pisaster,4 Pi,36,11.355,12.223,0.868,7.644209599
one,fifteen,Pisaster,4 Pi,40,17.224,16.805,-0.419,-2.432652113
one,fifteen,Pisaster,4 Pi,56,36.004,44.094,8.09,22.46972559
one,fifteen,Pisaster,4 Pi,72,70.517,74.971,4.454,6.316207439
two,one,Evasterias,2 Eva,46,14.672,16.505,1.833,12.4931843
two,one,Evasterias,2 Eva,72,47.268,54.344,7.076,14.96995853
two,three,Evasterias,4 Eva,59,17.598,17.7047,0.1067,0.6063189
two,three,Evasterias,4 Eva,61,25.475,29.072,3.597,14.11972522
two,six,Evasterias,2 Eva,55,38.223,37.511,-0.712,-1.862752793
two,six,Evasterias,2 Eva,78,60.429,66.827,6.398,10.58763177
two,seven,Evasterias,2 Eva,48,16.789,20.939,4.15,24.71856573
two,seven,Evasterias,2 Eva,50,26.047,28.082,2.035,7.812799939
two,eleven,Evasterias,Eva (2 Eva + 2 Pi),72,40.012,44.065,4.053,10.12946116
two,thirteen,Evasterias,Eva (2 Eva + 2 Pi),52,19.516,21.376,1.86,9.530641525
two,thirteen,Evasterias,Eva (2 Eva + 2 Pi),56,21.111,23.506,2.395,11.34479655
two,fourteen,Evasterias,4 Eva,52,16.758,18.757,1.999,11.9286311
two,fourteen,Evasterias,4 Eva,53,26.378,27.027,0.649,2.460383653
two,fourteen,Evasterias,4 Eva,61,34.907,37.929,3.022,8.657289369
two,fourteen,Evasterias,4 Eva,62,35.741,33.746,-1.995,-5.581824795
two,fifteen,Evasterias,4 Eva,53,23.156,24.288,1.132,4.888581793
two,fifteen,Evasterias,4 Eva,55,21.249,19.145,-2.104,-9.90164243
two,fifteen,Evasterias,4 Eva,59,24.911,25.181,0.27,1.083858536
two,two,Pisaster,4 Pi,49,46.187,48.4603,2.2733,4.921947734
two,two,Pisaster,4 Pi,49,53.066,54.347,1.281,2.41397505
two,two,Pisaster,4 Pi,65,71.609,72.947,1.338,1.868480219
two,two,Pisaster,4 Pi,75,128.4,118.8,-9.6,-7.476635514
two,four,Pisaster,4 Pi,53,31.551,27.054,-4.497,-14.25311401
two,four,Pisaster,4 Pi,61,56.712,60.681,3.969,6.998518832
two,eight,Pisaster,4 Pi,39,16.854,18.389,1.535,9.107630236
two,eight,Pisaster,4 Pi,48,27.828,27.417,-0.411,-1.476929711
two,eight,Pisaster,4 Pi,59,51.453,52.498,1.045,2.030979729
two,nine,Pisaster,2 Pi,59,58.65,60.35,1.7,2.898550725
two,nine,Pisaster,2 Pi,67,89.595,99.868,10.273,11.46604163
two,ten,Pisaster,2 Pi,49,33.121,37.524,4.403,13.29368075
two,ten,Pisaster,2 Pi,72,112.6,118.1,5.5,4.884547069
two,eleven,Pisaster,Pi (2 Eva + 2 Pi),40,29.309,26.914,-2.395,-8.171551401
two,eleven,Pisaster,Pi (2 Eva + 2 Pi),69,86.837,106.5,19.663,22.64357359
two,twelve,Pisaster,2 Pi,46,21.44,31.72,10.28,47.94776119
two,twelve,Pisaster,2 Pi,50,21.208,21.898,0.69,3.253489249
two,twelve,Pisaster,Pi (2 Eva + 2 Pi),31,18.414,20.281,1.867,10.13902466
two,twelve,Pisaster,Pi (2 Eva + 2 Pi),29,19.348,19.738,0.39,2.015712218
three,two,Evasterias,4 Eva,54,32.6,35.1,2.5,7.668711656
three,two,Evasterias,4 Eva,64,28.4,33.2,4.8,16.90140845
three,two,Evasterias,4 Eva,62,31.1,27.9,-3.2,-10.28938907
three,three,Evasterias,2 Eva,63,25.8,26,0.2,0.775193798
three,three,Evasterias,2 Eva,75,50.8,56.2,5.4,10.62992126
three,five,Evasterias,Eva (2 Eva + 2 Pi),54,24.8,28.1,3.3,13.30645161
three,five,Evasterias,Eva (2 Eva + 2 Pi),59,41.9,55.9,14,33.41288783
three,six,Evasterias,Eva (2 Eva + 2 Pi),51,22.7,26.3,3.6,15.85903084
three,eight,Evasterias,2 Eva,61,29,30.6,1.6,5.517241379
three,eight,Evasterias,2 Eva,70,33.9,38.8,4.9,14.45427729
three,ten,Evasterias,4 Eva,64,31.1,31.7,0.6,1.92926045
three,ten,Evasterias,4 Eva,45,24.5,30.7,6.2,25.30612245
three,ten,Evasterias,4 Eva,68,45.8,46.4,0.6,1.310043668
three,eleven,Evasterias,Eva (2 Eva + 2 Pi),57,27.1,27,-0.1,-0.36900369
three,eleven,Evasterias,Eva (2 Eva + 2 Pi),70,20.1,20.1,0,0
three,thirteen,Evasterias,Eva (2 Eva + 2 Pi),54,19.5,25.3,5.8,29.74358974
three,thirteen,Evasterias,Eva (2 Eva + 2 Pi),55,41.6,60.3,18.7,44.95192308
three,fifteen,Evasterias,2 Eva,59,20.7,19.6,-1.1,-5.314009662
three,fifteen,Evasterias,2 Eva,65,30.5,42.5,12,39.3442623
three,sixteen,Evasterias,4 Eva,47,16.3,21.3,5,30.67484663
three,sixteen,Evasterias,4 Eva,56,34.9,43.8,8.9,25.50143266
three,one,Pisaster,2 Pi,48,26.8,31.5,4.7,17.53731343
three,one,Pisaster,2 Pi,70,102.6,127,24.4,23.78167641
three,four,Pisaster,4 Pi,62,61.6,64.4,2.8,4.545454545
three,five,Pisaster,Pi (2 Eva + 2 Pi),56,50.5,50.7,0.2,0.396039604
three,five,Pisaster,Pi (2 Eva + 2 Pi),67,69.9,72.8,2.9,4.148783977
three,six,Pisaster,Pi (2 Eva + 2 Pi),75,52.8,50.4,-2.4,-4.545454545
three,seven,Pisaster,4 Pi,57,40,43.3,3.3,8.25
three,seven,Pisaster,4 Pi,58,53.3,54.5,1.2,2.251407129
three,seven,Pisaster,4 Pi,69,52.6,58.3,5.7,10.8365019
three,seven,Pisaster,4 Pi,76,89.6,105.3,15.7,17.52232143
three,nine,Pisaster,4 Pi,53,34.9,35.5,0.6,1.719197708
three,nine,Pisaster,4 Pi,53,44.3,45.2,0.9,2.031602709
three,nine,Pisaster,4 Pi,56,42.3,43.5,1.2,2.836879433
three,nine,Pisaster,4 Pi,64,80.9,82.1,1.2,1.483312732
three,eleven,Pisaster,Pi (2 Eva + 2 Pi),57,31.9,35.5,3.6,11.28526646
three,eleven,Pisaster,Pi (2 Eva + 2 Pi),54,50.5,55.6,5.1,10.0990099
three,twelve,Pisaster,2 Pi,64,46.8,55.4,8.6,18.37606838
three,fourteen,Pisaster,2 Pi,55,46.8,39.4,-7.4,-15.81196581
