SiteName,Area_m2
Between Scotts and Bradys,583.0947372
Bordelais Island,1837.342447
Cable Beach (Blow Hole),411.7314613
Danvers Danger Rock,85.1392366
Dixon Island Back (Bay),580.7259398
Dodger Channel 1,1492.884566
Dodger Channel 2,2816.753219
Ed King East Inside,1817.478364
Flemming 112,613.1488663
Flemming 114,390.8039057
Nanat Bay,3156.892888
North Helby Rock,890.7275502
Ross Islet 2,926.3335232
Ross Islet Slug Island,741.7770795
Second Beach,840.9770157
Second Beach South,13462.72317
Swiss Boy,98.78645361
Taylor Rock,1692.986931
Turf Island 2,972.4824151
Tzartus 116,1457.559884
Wizard Islet South,3580.420772