site_code,SiteName,Surveyor,Date,Time_start,Depth_m,Depth_datum_m,Transect_dist,RLS_dist,Macro_5m2,Nereo_5m2
KCCA1,Ross Islet Slug Island,CMA,07/04/2022,13:55,3,1.81,0,12.5,92,0
KCCA1,Ross Islet Slug Island,KDC,07/04/2022,13:55,3,1.81,5,17.5,40,0
KCCA1,Ross Islet Slug Island,CMA,07/04/2022,13:55,3,1.81,10,22.5,58,0
KCCA1,Ross Islet Slug Island,KDC,07/04/2022,13:55,3,1.81,15,27.5,72,0
KCCA2,Between Scotts and Bradys,BM,07/05/2022,11:26,2.7,1.42,0,15,26,0
KCCA2,Between Scotts and Bradys,AB,07/05/2022,11:26,2.7,1.42,5,20,19,0
KCCA2,Between Scotts and Bradys,BM,07/05/2022,11:26,2.7,1.42,10,25,23,0
KCCA2,Between Scotts and Bradys,AB,07/05/2022,11:26,2.7,1.42,15,30,22,0
KCCA3,Dodger Channel 1,BM,07/06/2022,12:11,3,1.69,0,12.5,12,0
KCCA3,Dodger Channel 1,AB,07/06/2022,12:11,3,1.69,5,17.5,14,0
KCCA3,Dodger Channel 1,BM,07/06/2022,12:11,3,1.69,10,22.5,18,0
KCCA3,Dodger Channel 1,AB,07/06/2022,12:11,3,1.69,15,27.5,18,0
KCCA4,Flemming 112,AB,07/07/2022,12:11,3.2,2.11,0,35,12,0
KCCA4,Flemming 112,BM,07/07/2022,12:11,3.2,2.11,5,40,31,0
KCCA4,Flemming 112,AB,07/07/2022,12:11,3.2,2.11,10,45,8,0
KCCA4,Flemming 112,BM,07/07/2022,12:11,3.2,2.11,15,50,24,0
KCCA6,Less Dangerous Bay,AB,07/24/2022,12:30,4,1.41,0,2.5,0,0
KCCA6,Less Dangerous Bay,BM,07/24/2022,12:30,4,1.41,5,7.5,0,0
KCCA6,Less Dangerous Bay,AB,07/24/2022,12:30,4,1.41,10,12.5,0,0
KCCA6,Less Dangerous Bay,BM,07/24/2022,12:30,4,1.41,15,17.5,0,0
KCCA7,Ed King East Inside,BM,07/25/2022,12:27,3,0.24,0,12.5,33,10
KCCA7,Ed King East Inside,AB,07/25/2022,12:27,3,0.24,5,17.5,81,42
KCCA7,Ed King East Inside,BM,07/25/2022,12:27,3,0.24,10,22.5,21,4
KCCA7,Ed King East Inside,AB,07/25/2022,12:27,3,0.24,15,27.5,107,5
KCCA9,Wizard Islet South,AB,07/27/2022,13:23,3,0.1,0,30,29,0
KCCA9,Wizard Islet South,CMA,07/27/2022,13:23,3,0.1,5,35,118,0
KCCA9,Wizard Islet South,AB,07/27/2022,13:23,3,0.1,10,40,40,0
KCCA9,Wizard Islet South,CMA,07/27/2022,13:23,3,0.1,15,45,103,0
KCCA12,North Helby Rock,AB,08/03/2022,11:18,3.5,2.41,0,35,55,0
KCCA12,North Helby Rock,KDC,08/03/2022,11:18,3.5,2.41,5,40,17,0
KCCA12,North Helby Rock,AB,08/03/2022,11:18,3.5,2.41,10,45,21,0
KCCA12,North Helby Rock,KDC,08/03/2022,11:18,3.5,2.41,15,50,27,0
KCCA13,Second Beach South ,CMA,08/05/2022,12:34,6.5,4.93,0,10,0,30
KCCA13,Second Beach South ,AB,08/05/2022,12:34,6.5,4.93,5,15,0,38
KCCA13,Second Beach South ,CMA,08/05/2022,12:34,6.5,4.93,10,20,0,98
KCCA13,Second Beach South ,AB,08/05/2022,12:34,6.5,4.93,15,25,0,61
KCCA14,Danvers Danger Rock,AB,08/06/2022,12:32,3,1.21,0,5,7,0
KCCA14,Danvers Danger Rock,KDC,08/06/2022,12:32,3,1.21,5,10,28,0
KCCA14,Danvers Danger Rock,AB,08/06/2022,12:32,3,1.21,10,15,7,0
KCCA14,Danvers Danger Rock,KDC,08/06/2022,12:32,3,1.21,15,20,18,0
KCCA15,Cable Beach (Blow Hole),KDC,08/07/2022,12:27,3,0.87,0,5,0,11
KCCA15,Cable Beach (Blow Hole),CMA,08/07/2022,12:27,3,0.87,5,10,0,17
KCCA15,Cable Beach (Blow Hole),KDC,08/07/2022,12:27,3,0.87,10,15,0,9
KCCA15,Cable Beach (Blow Hole),CMA,08/07/2022,12:27,3,0.87,15,20,0,20
KCCA16,Tzartus 116,AB,08/18/2022,11:50,3.7,2.23,0,5,33,0
KCCA16,Tzartus 116,BM,08/18/2022,11:50,3.7,2.23,5,10,36,0
KCCA16,Tzartus 116,AB,08/18/2022,11:50,3.7,2.23,10,15,11,0
KCCA16,Tzartus 116,BM,08/18/2022,11:50,3.7,2.23,15,20,53,0
KCCA17,Turf Island 2,BM,08/20/2022,12:00,2.4,0.33,0,12.5,19,0
KCCA17,Turf Island 2,AB,08/20/2022,12:00,2.4,0.33,5,17.5,71,0
KCCA17,Turf Island 2,BM,08/20/2022,12:00,2.4,0.33,10,22.5,74,0
KCCA17,Turf Island 2,AB,08/20/2022,12:00,2.4,0.33,15,27.5,122,0
KCCA18,Second Beach,CMA,08/21/2022,13:40,4.3,2.19,0,20,0,40
KCCA18,Second Beach,BM,08/21/2022,13:40,4.3,2.19,5,25,0,25
KCCA18,Second Beach,CMA,08/21/2022,13:40,4.3,2.19,10,30,0,32
KCCA18,Second Beach,BM,08/21/2022,13:40,4.3,2.19,15,35,0,20
KCCA19,Wizard Islet North,CMA,08/22/2022,12:55,5,2.56,0,20,0,0
KCCA19,Wizard Islet North,BM,08/22/2022,12:55,5,2.56,5,25,0,0
KCCA19,Wizard Islet North,CMA,08/22/2022,12:55,5,2.56,10,30,0,2
KCCA19,Wizard Islet North,BM,08/22/2022,12:55,5,2.56,15,25,0,0
KCCA21,Bordelais Island,BM,09/01/2022,12:34,3.5,1.61,0,5,0,9
KCCA21,Bordelais Island,KDC,09/01/2022,12:34,3.5,1.61,5,10,0,7
KCCA21,Bordelais Island,BM,09/01/2022,12:34,3.5,1.61,10,15,0,3
KCCA22,Taylor Rock,BM,09/05/2022,13:03,3.5,1.43,0,7.5,67,7
KCCA22,Taylor Rock,CMA,09/05/2022,13:03,3.5,1.43,5,12.5,79,8
KCCA22,Taylor Rock,BM,09/05/2022,13:03,3.5,1.43,10,17.5,102,7