SiteName,Transect,HeightT,BiomassTind,Surveyor,Date,Time_start,Depth_m,Depth_datum_m,RLS_dist,Macro_5m2,Nereo_5m2,Macro,Nereo,Kelp,BiomassTkg,Biomassm2kg
Between Scotts and Bradys,0,1.286,751.2,BM,7/5/2022,11:26,2.7,1.42,15,26,0,5.2,0,5.2,3.90624,0.781248
Between Scotts and Bradys,10,1.336,266,BM,7/5/2022,11:26,2.7,1.42,25,23,0,4.6,0,4.6,1.2236,0.24472
Between Scotts and Bradys,15,1.698,281.2,AB,7/5/2022,11:26,2.7,1.42,30,22,0,4.4,0,4.4,1.23728,0.247456
Between Scotts and Bradys,5,0.948,245.2,AB,7/5/2022,11:26,2.7,1.42,20,19,0,3.8,0,3.8,0.93176,0.186352
Bordelais Island,0,3.546,616.5426678,BM,9/1/2022,12:34,3.5,1.61,5,0,9,0,1.8,1.8,1.109776802,0.22195536
Bordelais Island,10,2.53,1165.590603,BM,9/1/2022,12:34,3.5,1.61,15,0,3,0,0.6,0.6,0.699354362,0.139870872
Bordelais Island,15,5.04,1336.324319,KDC,9/1/2022,12:34,3.5,1.61,20,0,15,0,3,3,4.008972958,0.801794592
Bordelais Island,5,6.13,1231.610702,KDC,9/1/2022,12:34,3.5,1.61,10,0,7,0,1.4,1.4,1.724254983,0.344850997
Cable Beach (Blow Hole),0,1.99,652.5628559,KDC,8/7/2022,12:27,3,0.87,5,0,11,0,2.2,2.2,1.435638283,0.287127657
Cable Beach (Blow Hole),10,2.172,792.9733535,KDC,8/7/2022,12:27,3,0.87,15,0,9,0,1.8,1.8,1.427352036,0.285470407
Cable Beach (Blow Hole),15,2.046,936.3961037,CMA,8/7/2022,12:27,3,0.87,20,0,20,0,4,4,3.745584415,0.749116883
Cable Beach (Blow Hole),5,2.056,926.4515475,CMA,8/7/2022,12:27,3,0.87,10,0,17,0,3.4,3.4,3.149935261,0.629987052
Danvers Danger Rock,0,0.708,125.6,AB,8/6/2022,12:32,3,1.21,5,7,0,1.4,0,1.4,0.17584,0.035168
Danvers Danger Rock,10,0.866,125.2,AB,8/6/2022,12:32,3,1.21,15,7,0,1.4,0,1.4,0.17528,0.035056
Danvers Danger Rock,15,1.876,423.6,KDC,8/6/2022,12:32,3,1.21,20,18,0,3.6,0,3.6,1.52496,0.304992
Danvers Danger Rock,5,1.18,310.4,KDC,8/6/2022,12:32,3,1.21,10,28,0,5.6,0,5.6,1.73824,0.347648
Dixon Island Back (Bay),0,1.884,1238.8,CMA,7/26/2022,10:45,3.5,1.18,30,7,0,1.4,0,1.4,1.73432,0.346864
Dixon Island Back (Bay),10,1.1325,670.5,CMA,7/26/2022,10:45,3.5,1.18,40,9,0,1.8,0,1.8,1.2069,0.24138
Dixon Island Back (Bay),15,0.66,586,AB,7/26/2022,10:45,3.5,1.18,45,2,0,0.4,0,0.4,0.2344,0.04688
Dixon Island Back (Bay),5,1.058,543.6,AB,7/26/2022,10:45,3.5,1.18,35,6,0,1.2,0,1.2,0.65232,0.130464
Dodger Channel 1,0,0.9,222,BM,7/6/2022,12:11,3,1.69,12.5,12,0,2.4,0,2.4,0.5328,0.10656
Dodger Channel 1,10,0.652,144,BM,7/6/2022,12:11,3,1.69,22.5,18,0,3.6,0,3.6,0.5184,0.10368
Dodger Channel 1,15,2.64,846,AB,7/6/2022,12:11,3,1.69,27.5,18,0,3.6,0,3.6,3.0456,0.60912
Dodger Channel 1,5,1.72,338.8,AB,7/6/2022,12:11,3,1.69,17.5,14,0,2.8,0,2.8,0.94864,0.189728
Dodger Channel 2,0,2.415,426,AB,7/28/2022,11:45,5,2.7,35,4,0,0.8,0,0.8,0.3408,0.06816
Dodger Channel 2,10,3.824,706,AB,7/28/2022,11:45,5,2.7,45,26,0,5.2,0,5.2,3.6712,0.73424
Dodger Channel 2,15,3.5475,432,KDC,7/28/2022,11:45,5,2.7,50,47,0,9.4,0,9.4,4.0608,0.81216
Dodger Channel 2,5,2.928,411.6,KDC,7/28/2022,11:45,5,2.7,40,42,0,8.4,0,8.4,3.45744,0.691488
Ed King East Inside,0,2.683333333,460.6807081,BM,7/25/2022,12:27,3,0.24,12.5,33,10,6.6,2,8.6,3.96185409,0.792370818
Ed King East Inside,10,1.939,376.5270981,BM,7/25/2022,12:27,3,0.24,22.5,21,4,4.2,0.8,5,1.882635491,0.376527098
Ed King East Inside,15,2.658,744.259594,AB,7/25/2022,12:27,3,0.24,27.5,107,5,21.4,1,22.4,16.67141491,3.334282981
Ed King East Inside,5,2.048888889,603.7371283,AB,7/25/2022,12:27,3,0.24,17.5,81,42,16.2,8.4,24.6,14.85193336,2.970386671
Flemming 112,0,2.28,525.6,AB,7/7/2022,12:11,3.2,2.11,35,12,0,2.4,0,2.4,1.26144,0.252288
Flemming 112,10,1.475,244,AB,7/7/2022,12:11,3.2,2.11,45,8,0,1.6,0,1.6,0.3904,0.07808
Flemming 112,15,2.5,446.4,BM,7/7/2022,12:11,3.2,2.11,50,24,0,4.8,0,4.8,2.14272,0.428544
Flemming 112,5,3.368,491.6,BM,7/7/2022,12:11,3.2,2.11,40,31,0,6.2,0,6.2,3.04792,0.609584
Flemming 114,0,3.194,3.7,KDC,9/8/2022,11:45,7,3.85,10,12,0,2.4,0,2.4,0.00888,0.001776
Flemming 114,10,NA,NA,KDC,9/8/2022,11:45,7,3.85,20,0,0,0,0,0,NA,NA
Flemming 114,15,2.23,400.596,BM,9/8/2022,11:45,7,3.85,25,15,0,3,0,3,1.201788,0.2403576
Flemming 114,5,5.28,712,BM,9/8/2022,11:45,7,3.85,15,11,0,2.2,0,2.2,1.5664,0.31328
Less Dangerous Bay,0,NA,NA,AB,7/24/2022,12:30,4,1.41,2.5,0,0,0,0,0,NA,NA
Less Dangerous Bay,10,NA,NA,AB,7/24/2022,12:30,4,1.41,12.5,0,0,0,0,0,NA,NA
Less Dangerous Bay,15,NA,NA,BM,7/24/2022,12:30,4,1.41,17.5,0,0,0,0,0,NA,NA
Less Dangerous Bay,5,NA,NA,BM,7/24/2022,12:30,4,1.41,7.5,0,0,0,0,0,NA,NA
Nanat Bay,0,3.288,719.2,BM,8/31/2022,12:27,5.5,3.5,5,18,0,3.6,0,3.6,2.58912,0.517824
Nanat Bay,10,1.1,446,BM,8/31/2022,12:27,5.5,3.5,15,1,0,0.2,0,0.2,0.0892,0.01784
Nanat Bay,15,6.65,1072,KDC,8/31/2022,12:27,5.5,3.5,20,1,0,0.2,0,0.2,0.2144,0.04288
Nanat Bay,5,0.96,595.3333333,KDC,8/31/2022,12:27,5.5,3.5,10,3,0,0.6,0,0.6,0.3572,0.07144
North Helby Rock,0,2.166,677.2,AB,8/3/2022,11:18,3.5,2.41,35,55,0,11,0,11,7.4492,1.48984
North Helby Rock,10,1.994,562.4,AB,8/3/2022,11:18,3.5,2.41,45,21,0,4.2,0,4.2,2.36208,0.472416
North Helby Rock,15,1.778,348.4,KDC,8/3/2022,11:18,3.5,2.41,50,27,0,5.4,0,5.4,1.88136,0.376272
North Helby Rock,5,1.34,262,KDC,8/3/2022,11:18,3.5,2.41,40,17,0,3.4,0,3.4,0.8908,0.17816
Ross Islet 2,0,1.452,365.2,CMA,7/29/2022,14:15,3.2,0.19,2.5,55,0,11,0,11,4.0172,0.80344
Ross Islet 2,10,1.564,398,CMA,7/29/2022,14:15,3.2,0.19,12.5,62,0,12.4,0,12.4,4.9352,0.98704
Ross Islet 2,15,1.254,144.4,BM,7/29/2022,14:15,3.2,0.19,17.5,18,0,3.6,0,3.6,0.51984,0.103968
Ross Islet 2,5,1.974,249.2,BM,7/29/2022,14:15,3.2,0.19,7.5,106,0,21.2,0,21.2,5.28304,1.056608
Ross Islet Slug Island,0,0.91,295.2,CMA,7/4/2022,13:55,3,1.81,12.5,92,0,18.4,0,18.4,5.43168,1.086336
Ross Islet Slug Island,10,0.842,180.8,CMA,7/4/2022,13:55,3,1.81,22.5,58,0,11.6,0,11.6,2.09728,0.419456
Ross Islet Slug Island,15,1.158,267.6,KDC,7/4/2022,13:55,3,1.81,27.5,72,0,14.4,0,14.4,3.85344,0.770688
Ross Islet Slug Island,5,1.812,450.4,KDC,7/4/2022,13:55,3,1.81,17.5,40,0,8,0,8,3.6032,0.72064
Second Beach,0,4.918,1194.560196,CMA,8/21/2022,13:40,4.3,2.19,20,0,40,0,8,8,9.556481571,1.911296314
Second Beach,10,4.184,1471.43606,CMA,8/21/2022,13:40,4.3,2.19,30,0,32,0,6.4,6.4,9.417190785,1.883438157
Second Beach,15,2.858,901.2603631,BM,8/21/2022,13:40,4.3,2.19,35,0,20,0,4,4,3.605041452,0.72100829
Second Beach,5,4.32,1090.023008,BM,8/21/2022,13:40,4.3,2.19,25,0,25,0,5,5,5.450115039,1.090023008
Second Beach South,0,4.732,1300.709455,CMA,8/5/2022,12:34,6.5,4.93,10,0,30,0,6,6,7.804256731,1.560851346
Second Beach South,10,6.176,1075.305664,CMA,8/5/2022,12:34,6.5,4.93,20,0,98,0,19.6,19.6,21.07599101,4.215198203
Second Beach South,15,5.664,648.0351078,AB,8/5/2022,12:34,6.5,4.93,25,0,61,0,12.2,12.2,7.906028315,1.581205663
Second Beach South,5,5.3925,3592.930817,AB,8/5/2022,12:34,6.5,4.93,15,0,38,0,7.6,7.6,27.30627421,5.461254842
Swiss Boy,0,1.144,254.5107761,BM,7/23/2022,12:36,4.3,2,3,0,22,0,4.4,4.4,1.119847415,0.223969483
Swiss Boy,10,4.422,539.3166851,BM,7/23/2022,12:36,4.3,2,13,0,101,0,20.2,20.2,10.89419704,2.178839408
Swiss Boy,15,1.262,270.5651689,AB,7/23/2022,12:36,4.3,2,18,0,10,0,2,2,0.541130338,0.108226068
Swiss Boy,5,1.5,618.7774257,AB,7/23/2022,12:36,4.3,2,8,0,23,0,4.6,4.6,2.846376158,0.569275232
Taylor Rock,0,2.016,502.0916261,BM,9/5/2022,13:03,3.5,1.43,7.5,67,7,13.4,1.4,14.8,7.430956066,1.486191213
Taylor Rock,10,2.23,566.3085366,BM,9/5/2022,13:03,3.5,1.43,17.5,102,7,20.4,1.4,21.8,12.3455261,2.46910522
Taylor Rock,15,2.463,486.7557541,CMA,9/5/2022,13:03,3.5,1.43,22.5,15,11,3,2.2,5.2,2.531129922,0.506225984
Taylor Rock,5,2.488,676.6470481,CMA,9/5/2022,13:03,3.5,1.43,12.5,79,8,15.8,1.6,17.4,11.77365864,2.354731727
Turf Island 2,0,0.732,128.4,BM,8/20/2022,12:00,2.4,0.33,12.5,19,0,3.8,0,3.8,0.48792,0.097584
Turf Island 2,10,0.706,108.4,BM,8/20/2022,12:00,2.4,0.33,22.5,74,0,14.8,0,14.8,1.60432,0.320864
Turf Island 2,15,1.712,378.4,AB,8/20/2022,12:00,2.4,0.33,27.5,122,0,24.4,0,24.4,9.23296,1.846592
Turf Island 2,5,1.542,303.6,AB,8/20/2022,12:00,2.4,0.33,17.5,71,0,14.2,0,14.2,4.31112,0.862224
Tzartus 116,0,2.344,286.4,AB,8/18/2022,11:50,3.7,2.23,5,33,0,6.6,0,6.6,1.89024,0.378048
Tzartus 116,10,2.33,210,AB,8/18/2022,11:50,3.7,2.23,15,11,0,2.2,0,2.2,0.462,0.0924
Tzartus 116,15,1.836,238,BM,8/18/2022,11:50,3.7,2.23,20,53,0,10.6,0,10.6,2.5228,0.50456
Tzartus 116,5,3.4875,409.5,BM,8/18/2022,11:50,3.7,2.23,10,36,0,7.2,0,7.2,2.9484,0.58968
Wizard Islet North,0,NA,NA,CMA,8/22/2022,12:55,5,2.56,20,0,0,0,0,0,NA,NA
Wizard Islet North,10,2.28,618.8985035,CMA,8/22/2022,12:55,5,2.56,30,0,2,0,0.4,0.4,0.247559401,0.04951188
Wizard Islet North,15,NA,NA,BM,8/22/2022,12:55,5,2.56,25,0,0,0,0,0,NA,NA
Wizard Islet North,5,NA,NA,BM,8/22/2022,12:55,5,2.56,25,0,0,0,0,0,NA,NA
Wizard Islet South,0,1.0344,206.8,AB,7/27/2022,13:23,3,0.1,30,29,0,5.8,0,5.8,1.19944,0.239888
Wizard Islet South,10,0.91,313.6,AB,7/27/2022,13:23,3,0.1,40,40,0,8,0,8,2.5088,0.50176
Wizard Islet South,15,1.442,381.2,CMA,7/27/2022,13:23,3,0.1,45,103,0,20.6,0,20.6,7.85272,1.570544
Wizard Islet South,5,1.074,274.4,CMA,7/27/2022,13:23,3,0.1,35,118,0,23.6,0,23.6,6.47584,1.295168