SiteName,Surveyor,Date,Time_start,Depth_m,Depth_datum_m,Transect,RLS_dist,Macro_5m2,Nereo_5m2
Ross Islet Slug Island,CMA,7/4/2022,13:55,3,1.81,0,12.5,92,0
Ross Islet Slug Island,KDC,7/4/2022,13:55,3,1.81,5,17.5,40,0
Ross Islet Slug Island,CMA,7/4/2022,13:55,3,1.81,10,22.5,58,0
Ross Islet Slug Island,KDC,7/4/2022,13:55,3,1.81,15,27.5,72,0
Between Scotts and Bradys,BM,7/5/2022,11:26,2.7,1.42,0,15,26,0
Between Scotts and Bradys,AB,7/5/2022,11:26,2.7,1.42,5,20,19,0
Between Scotts and Bradys,BM,7/5/2022,11:26,2.7,1.42,10,25,23,0
Between Scotts and Bradys,AB,7/5/2022,11:26,2.7,1.42,15,30,22,0
Dodger Channel 1,BM,7/6/2022,12:11,3,1.69,0,12.5,12,0
Dodger Channel 1,AB,7/6/2022,12:11,3,1.69,5,17.5,14,0
Dodger Channel 1,BM,7/6/2022,12:11,3,1.69,10,22.5,18,0
Dodger Channel 1,AB,7/6/2022,12:11,3,1.69,15,27.5,18,0
Flemming 112,AB,7/7/2022,12:11,3.2,2.11,0,35,12,0
Flemming 112,BM,7/7/2022,12:11,3.2,2.11,5,40,31,0
Flemming 112,AB,7/7/2022,12:11,3.2,2.11,10,45,8,0
Flemming 112,BM,7/7/2022,12:11,3.2,2.11,15,50,24,0
Swiss Boy,BM,7/23/2022,12:36,4.3,2,0,3,0,22
Swiss Boy,AB,7/23/2022,12:36,4.3,2,5,8,0,23
Swiss Boy,BM,7/23/2022,12:36,4.3,2,10,13,0,101
Swiss Boy,AB,7/23/2022,12:36,4.3,2,15,18,0,10
Less Dangerous Bay,AB,7/24/2022,12:30,4,1.41,0,2.5,0,0
Less Dangerous Bay,BM,7/24/2022,12:30,4,1.41,5,7.5,0,0
Less Dangerous Bay,AB,7/24/2022,12:30,4,1.41,10,12.5,0,0
Less Dangerous Bay,BM,7/24/2022,12:30,4,1.41,15,17.5,0,0
Ed King East Inside,BM,7/25/2022,12:27,3,0.24,0,12.5,33,10
Ed King East Inside,AB,7/25/2022,12:27,3,0.24,5,17.5,81,42
Ed King East Inside,BM,7/25/2022,12:27,3,0.24,10,22.5,21,4
Ed King East Inside,AB,7/25/2022,12:27,3,0.24,15,27.5,107,5
Dixon Island Back (Bay),CMA,7/26/2022,10:45,3.5,1.18,0,30,7,0
Dixon Island Back (Bay),AB,7/26/2022,10:45,3.5,1.18,5,35,6,0
Dixon Island Back (Bay),CMA,7/26/2022,10:45,3.5,1.18,10,40,9,0
Dixon Island Back (Bay),AB,7/26/2022,10:45,3.5,1.18,15,45,2,0
Wizard Islet South,AB,7/27/2022,13:23,3,0.1,0,30,29,0
Wizard Islet South,CMA,7/27/2022,13:23,3,0.1,5,35,118,0
Wizard Islet South,AB,7/27/2022,13:23,3,0.1,10,40,40,0
Wizard Islet South,CMA,7/27/2022,13:23,3,0.1,15,45,103,0
Dodger Channel 2,AB,7/28/2022,11:45,5,2.7,0,35,4,0
Dodger Channel 2,KDC,7/28/2022,11:45,5,2.7,5,40,42,0
Dodger Channel 2,AB,7/28/2022,11:45,5,2.7,10,45,26,0
Dodger Channel 2,KDC,7/28/2022,11:45,5,2.7,15,50,47,0
Ross Islet 2,CMA,7/29/2022,14:15,3.2,0.19,0,2.5,55,0
Ross Islet 2,BM,7/29/2022,14:15,3.2,0.19,5,7.5,106,0
Ross Islet 2,CMA,7/29/2022,14:15,3.2,0.19,10,12.5,62,0
Ross Islet 2,BM,7/29/2022,14:15,3.2,0.19,15,17.5,18,0
North Helby Rock,AB,8/3/2022,11:18,3.5,2.41,0,35,55,0
North Helby Rock,KDC,8/3/2022,11:18,3.5,2.41,5,40,17,0
North Helby Rock,AB,8/3/2022,11:18,3.5,2.41,10,45,21,0
North Helby Rock,KDC,8/3/2022,11:18,3.5,2.41,15,50,27,0
Second Beach South,CMA,8/5/2022,12:34,6.5,4.93,0,10,0,30
Second Beach South,AB,8/5/2022,12:34,6.5,4.93,5,15,0,38
Second Beach South,CMA,8/5/2022,12:34,6.5,4.93,10,20,0,98
Second Beach South,AB,8/5/2022,12:34,6.5,4.93,15,25,0,61
Danvers Danger Rock,AB,8/6/2022,12:32,3,1.21,0,5,7,0
Danvers Danger Rock,KDC,8/6/2022,12:32,3,1.21,5,10,28,0
Danvers Danger Rock,AB,8/6/2022,12:32,3,1.21,10,15,7,0
Danvers Danger Rock,KDC,8/6/2022,12:32,3,1.21,15,20,18,0
Cable Beach (Blow Hole),KDC,8/7/2022,12:27,3,0.87,0,5,0,11
Cable Beach (Blow Hole),CMA,8/7/2022,12:27,3,0.87,5,10,0,17
Cable Beach (Blow Hole),KDC,8/7/2022,12:27,3,0.87,10,15,0,9
Cable Beach (Blow Hole),CMA,8/7/2022,12:27,3,0.87,15,20,0,20
Tzartus 116,AB,8/18/2022,11:50,3.7,2.23,0,5,33,0
Tzartus 116,BM,8/18/2022,11:50,3.7,2.23,5,10,36,0
Tzartus 116,AB,8/18/2022,11:50,3.7,2.23,10,15,11,0
Tzartus 116,BM,8/18/2022,11:50,3.7,2.23,15,20,53,0
Turf Island 2,BM,8/20/2022,12:00,2.4,0.33,0,12.5,19,0
Turf Island 2,AB,8/20/2022,12:00,2.4,0.33,5,17.5,71,0
Turf Island 2,BM,8/20/2022,12:00,2.4,0.33,10,22.5,74,0
Turf Island 2,AB,8/20/2022,12:00,2.4,0.33,15,27.5,122,0
Second Beach,CMA,8/21/2022,13:40,4.3,2.19,0,20,0,40
Second Beach,BM,8/21/2022,13:40,4.3,2.19,5,25,0,25
Second Beach,CMA,8/21/2022,13:40,4.3,2.19,10,30,0,32
Second Beach,BM,8/21/2022,13:40,4.3,2.19,15,35,0,20
Wizard Islet North,CMA,8/22/2022,12:55,5,2.56,0,20,0,0
Wizard Islet North,BM,8/22/2022,12:55,5,2.56,5,25,0,0
Wizard Islet North,CMA,8/22/2022,12:55,5,2.56,10,30,0,2
Wizard Islet North,BM,8/22/2022,12:55,5,2.56,15,25,0,0
Nanat Bay,BM,8/31/2022,12:27,5.5,3.5,0,5,18,0
Nanat Bay,KDC,8/31/2022,12:27,5.5,3.5,5,10,3,0
Nanat Bay,BM,8/31/2022,12:27,5.5,3.5,10,15,1,0
Nanat Bay,KDC,8/31/2022,12:27,5.5,3.5,15,20,1,0
Bordelais Island,BM,9/1/2022,12:34,3.5,1.61,0,5,0,9
Bordelais Island,KDC,9/1/2022,12:34,3.5,1.61,5,10,0,7
Bordelais Island,BM,9/1/2022,12:34,3.5,1.61,10,15,0,3
Bordelais Island,KDC,9/1/2022,12:34,3.5,1.61,15,20,0,15
Taylor Rock,BM,9/5/2022,13:03,3.5,1.43,0,7.5,67,7
Taylor Rock,CMA,9/5/2022,13:03,3.5,1.43,5,12.5,79,8
Taylor Rock,BM,9/5/2022,13:03,3.5,1.43,10,17.5,102,7
Taylor Rock,CMA,9/5/2022,13:03,3.5,1.43,15,22.5,15,11
Flemming 114,KDC,9/8/2022,11:45,7,3.85,0,10,12,0
Flemming 114,BM,9/8/2022,11:45,7,3.85,5,15,11,0
Flemming 114,KDC,9/8/2022,11:45,7,3.85,10,20,0,0
Flemming 114,BM,9/8/2022,11:45,7,3.85,15,25,15,0
Ross Islet 2 REDO,CMA,9/13/2022,13:55,3.2,0.05,0,2.5,62,0
Ross Islet 2 REDO,BM,9/13/2022,13:55,3.2,0.05,5,7.5,119,0
Ross Islet 2 REDO,CMA,9/13/2022,13:55,3.2,0.05,10,12.5,67,0
Ross Islet 2 REDO,BM,9/13/2022,13:55,3.2,0.05,15,17.5,117,0
Second Beach South REDO,CMA,9/15/2022,12:30,7,5.11,0,0,0,52
Second Beach South REDO,BM,9/15/2022,12:30,7,5.11,5,5,0,10
Second Beach South REDO,CMA,9/15/2022,12:30,7,5.11,10,10,0,56
Second Beach South REDO,BM,9/15/2022,12:30,7,5.11,15,15,0,8
Less Dangerous Bay REDO,KDC,9/18/2022,10:04,5,2.73,0,15,0,0
Less Dangerous Bay REDO,KDC,9/18/2022,10:04,5,2.73,5,20,0,0
Less Dangerous Bay REDO,KDC,9/18/2022,10:04,5,2.73,10,25,0,0
Less Dangerous Bay REDO,KDC,9/18/2022,10:04,5,2.73,15,30,0,0
